항목ID,항목명,데이터타입,설문 문항
B_03_006,일요일 하루 평균 종편 시청 시간(분),주관식,귀하께서는 일요일에 종합편성 채널을 하루 평균 몇 시간 정도 시청하십니까?
B_03_007,평일 케이블TV 시청시간(분),주관식,귀하께서는 평일에 케이블 채널을 하루 평균 몇 시간 정도 시청하십니까?
B_03_008,토요일 케이블TV 시청시간(분),주관식,귀하께서는 토요일에 케이블 채널을 하루 평균 몇 시간 정도 시청하십니까?
B_03_009,일요일 케이블TV 시청시간(분),주관식,귀하께서는 일요일에 케이블 채널을 하루 평균 몇 시간 정도 시청하십니까?
B_03_020,평일 하루 평균 라디오 청취 시간(분),주관식,귀하께서는 평일에 하루 평균 몇 시간 정도 라디오 방송을 들으십니까?
B_03_021,토요일 하루 평균 라디오 청취 시간(분),주관식,귀하께서는 토요일에 하루 평균 몇 시간 정도 라디오 방송을 들으십니까?
B_03_022,일요일 하루 평균 라디오 청취 시간(분),주관식,귀하께서는 일요일에 하루 평균 몇 시간 정도 라디오 방송을 들으십니까?
B_03_023,평일 하루 평균 DMB 시청 시간(분),주관식,귀하께서는 평일에 하루 평균 몇 분 정도 DMB를 이용하십니까?
B_03_024,토요일 하루 평균 DMB 시청 시간(분),주관식,귀하께서는 토요일에 평균 몇 분 정도 DMB를 이용하십니까?
B_03_025,일요일 하루 평균 DMB 시청 시간(분),주관식,귀하께서는 일요일에 평균 몇 분 정도 DMB를 이용하십니까?
B_03_026,평일 인터넷 이용시간(분),주관식,귀하께서는 평일에 평균 몇 분 정도 PC(데스크탑/노트북)을 통해 인터넷을 이용하십니까?
B_03_027,토요일 인터넷 이용시간(분),주관식,귀하께서는 토요일에 몇 분 정도 PC(데스크탑/노트북)을 통해 인터넷을 이용하십니까?
B_03_028,일요일 인터넷 이용시간(분),주관식,귀하께서는 일요일에 몇 분 정도 PC(데스크탑/노트북)을 통해 인터넷을 이용하십니까?
B_03_029,평일 하루 평균 모바일 인터넷 이용 시간(분),주관식,귀하께서는 평일 평균 몇 분 정도 모바일(스마트폰/태블릿PC)을 통해 인터넷을 이용하십니까?
B_03_030,토요일 하루 평균 모바일 인터넷 이용 시간(분),주관식,귀하께서는 토요일 평균 몇 분 정도 모바일(스마트폰/태블릿PC)을 통해 인터넷을 이용하십니까?
B_03_031,일요일 하루 평균 모바일 인터넷 이용 시간(분),주관식,귀하께서는 일요일 평균 몇 분 정도 모바일(스마트폰/태블릿PC)을 통해 인터넷을 이용하십니까?
B_03_032,평일 하루 평균 종이 신문 읽은 시간(분),주관식,귀하께서는 평일에 하루 평균 몇 분 정도 종이로 인쇄된 신문(무료일간지 포함)을 읽으십니까?
B_03_033,토요일 하루 평균 종이 신문 읽은 시간(분),주관식,귀하께서는 토요일에 몇 분 정도 종이로 인쇄된 신문(무료일간지 포함)을 읽으십니까?
B_03_034,일요일 하루 평균 종이 신문 읽은 시간(분),주관식,귀하께서는 일요일에 몇 분 정도 종이로 인쇄된 신문(무료일간지 포함)을 읽으십니까?
B_04_001#1,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#2,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#3,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#4,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#5,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#6,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#7,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#8,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#9,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_001#10,1시대 이용매체,복수,귀하께서 어제 1시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#1,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#2,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#3,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#4,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#5,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#6,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#7,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#8,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#9,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_002#10,2시대 이용매체,복수,귀하께서 어제 2시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#1,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#2,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#3,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#4,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#5,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#6,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#7,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#8,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#9,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_003#10,3시대 이용매체,복수,귀하께서 어제 3시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#1,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#2,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#3,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#4,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#5,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#6,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#7,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#8,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#9,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_004#10,4시대 이용매체,복수,귀하께서 어제 4시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#1,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#2,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#3,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#4,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#5,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#6,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#7,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#8,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#9,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_005#10,5시대 이용매체,복수,귀하께서 어제 5시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#1,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#2,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#3,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#4,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#5,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#6,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#7,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#8,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#9,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_006#10,6시대 이용매체,복수,귀하께서 어제 6시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#1,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#2,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#3,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#4,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#5,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#6,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#7,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#8,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#9,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_007#10,7시대 이용매체,복수,귀하께서 어제 7시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#1,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#2,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#3,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#4,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#5,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#6,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#7,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#8,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#9,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_008#10,8시대 이용매체,복수,귀하께서 어제 8시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#1,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#2,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#3,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#4,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#5,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#6,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#7,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#8,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#9,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_009#10,9시대 이용매체,복수,귀하께서 어제 9시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#1,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#2,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#3,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#4,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#5,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#6,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#7,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#8,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#9,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_010#10,10시대 이용매체,복수,귀하께서 어제 10시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#1,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#2,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#3,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#4,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#5,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#6,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#7,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#8,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#9,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_011#10,11시대 이용매체,복수,귀하께서 어제 11시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#1,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#2,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#3,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#4,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#5,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#6,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#7,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#8,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#9,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_012#10,12시대 이용매체,복수,귀하께서 어제 12시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#1,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#2,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#3,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#4,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#5,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#6,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#7,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#8,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#9,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_013#10,13시대 이용매체,복수,귀하께서 어제 13시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#1,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#2,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#3,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#4,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#5,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#6,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#7,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#8,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#9,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_014#10,14시대 이용매체,복수,귀하께서 어제 14시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#1,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#2,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#3,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#4,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#5,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#6,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#7,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#8,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#9,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_015#10,15시대 이용매체,복수,귀하께서 어제 15시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#1,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#2,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#3,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#4,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#5,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#6,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#7,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#8,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#9,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_016#10,16시대 이용매체,복수,귀하께서 어제 16시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#1,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#2,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#3,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#4,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#5,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#6,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#7,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#8,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#9,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_017#10,17시대 이용매체,복수,귀하께서 어제 17시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#1,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#2,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#3,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#4,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#5,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#6,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#7,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#8,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#9,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_018#10,18시대 이용매체,복수,귀하께서 어제 18시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#1,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#2,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#3,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#4,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#5,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
B_04_019#6,19시대 이용매체,복수,귀하께서 어제 19시대에 이용하신 매체를 모두 말씀해 주십시오
